sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
WINE_001,,Wine_Attribute_Set,simple,"Wine,Wine/Vinhos,Wine/Vinhos/Vinhos Tinto",wine_br,Viña Bouchon País Salvaje 2020,,"<p><strong>Opinião do especialista:</strong></p>
<p>Um clássico francês e um dos 5 Premiers Grands Crus Classés da classificação de Médoc de 1855. Primeiro vinho do Château Mouton Rothschild que possui aromas de amora e groselha associadas às notas de violeta, torrefação, tosta, tabaco, chocolate e toques sutis de cedro. Apresenta, no paladar, suculência, harmonia, boa maturidade, taninos aveludados e ótima complexidade. A safra 2008 necessitou de paciência e atenção rigorosa nas videiras para a escolha do momento certo para a colheita. A princípio, houve falta de sol na primeira quinzena de setembro, mas felizmente um magnífico verão inverteu a situação, dando vida a um vinho, pontuado e aclamado pela crítica internacional, que promete longevidade e excelente qualidade aromática e gustativa.</p>",1.250000,1,Taxable Goods,"Catalog, Search",241.900000,,,,vi-a-bouchon-pais-salvaje-2020,Viña Bouchon País Salvaje 2020,Viña Bouchon País Salvaje 2020,Viña Bouchon País Salvaje 2020 ,VinaBouchon.png,,VinaBouchon.png,,VinaBouchon.png,,,,23/05/2022 09:32,23/05/2022 12:26,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"WineType=Tinto,Year=2020",25.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,VinaBouchon.png,,,,,,,,,,,,,,
WINE_002,,Wine_Attribute_Set,simple,"Wine,Wine/Vinhos,Wine/Vinhos/Vinhos Tinto",wine_br,Château Mouton Rothschild Premier Grand Cru Classé A.O.C. Pauillac 2008,,"<table style=""width: 72.0216%;"" border=""0"" cellspacing=""0""><colgroup width=""84""></colgroup>
<tbody>
<tr>
<td style=""width: 100%;"" align=""left"" height=""17"">
<p><strong>Opinião do especialista:</strong></p>
<p>Vinho de sabor persistente, doce, estruturado, intenso e com notas de mel. Passitos são vinhos de sobremesa elaborados através de um método chamado Passerillage, que consiste na secagem natural das uvas após a sua colheita. Assim, após a evaporação da água contida nas uvas, sobra o açúcar, que ressalta seus sabores.</p>
</td>
</tr>
</tbody>
</table>",1.250000,1,Taxable Goods,"Catalog, Search",16499.000000,,,,chateau-mouton-rothschild-premier-grand-cru-classe-pauillac-2008,Château Mouton Rothschild Premier Grand Cru Classé A.O.C. Pauillac 2008,Château Mouton Rothschild Premier Grand Cru Classé A.O.C. Pauillac 2008,Château Mouton Rothschild Premier Grand Cru Classé A.O.C. Pauillac 2008 ,ChateauMounton1.png,,ChateauMounton1.png,,ChateauMounton1.png,,,,23/05/2022 09:42,23/05/2022 12:24,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"WineType=Tinto,Year=2008",30.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,ChateauMounton1.png,,,,,,,,,,,,,,
WINE_003,,Wine_Attribute_Set,simple,"Wine,Wine/Vinhos,Wine/Vinhos/Vinhos Brancos",wine_br,Beni di Batasiolo Muscatel Tardì D.O.C. Piemonte Moscato Passito 2011 375 ml,,"<table border=""0"" cellspacing=""0"">
<tbody>
<tr>
<td align=""left"" height=""17"">
<p><strong>Opinião do especialista:</strong></p>
<p>O único branco produzido pelo Domaine Baronarques, que elabora apenas três exemplares, esse vinho é produzido com uvas de uma pequena e específica parcela de vinhedo. Com potencial de envelhecimento, barricas com diferentes graus de uso foram utilizadas no amadurecimento desse rótulo, aumentando a sua complexidade de aromas e sabores. Essa safra foi pontuada com 91 pela Wine Spectator.</p>
</td>
</tr>
</tbody>
</table>",1.250000,1,Taxable Goods,"Catalog, Search",609.900000,,,,beni-di-batasiolo-muscatel-tardi-d-o-c-piemonte-moscato-passito-2011-375-ml,Beni di Batasiolo Muscatel Tardì D.O.C. Piemonte Moscato Passito 2011 375 ml,Beni di Batasiolo Muscatel Tardì D.O.C. Piemonte Moscato Passito 2011 375 ml,Beni di Batasiolo Muscatel Tardì D.O.C. Piemonte Moscato Passito 2011 375 ml ,BeniDiBatasiolo.png,,BeniDiBatasiolo.png,,BeniDiBatasiolo.png,,,,23/05/2022 10:22,23/05/2022 12:06,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Italy,"WineType=Branco,Year=2011",30.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,BeniDiBatasiolo.png,,,,,,,,,,,,,,
WINE_004,,Wine_Attribute_Set,simple,"Wine,Wine/Vinhos,Wine/Vinhos/Vinhos Brancos,Wine/Premium",wine_br,Domaine De Baronarques Blanc 2016,,"<table style=""width: 99.6392%; height: 225px;"" border=""0"" cellspacing=""0"">
<tbody>
<tr>
<td style=""width: 100%;"" align=""left"" height=""17"">
<p><strong>Opinião do especialista:</strong></p>
<p>O único branco produzido pelo Domaine Baronarques, que elabora apenas três exemplares, esse vinho é produzido com uvas de uma pequena e específica parcela de vinhedo. Com potencial de envelhecimento, barricas com diferentes graus de uso foram utilizadas no amadurecimento desse rótulo, aumentando a sua complexidade de aromas e sabores. Essa safra foi pontuada com 91 pela Wine Spectator.</p>
</td>
</tr>
</tbody>
</table>",1.250000,1,Taxable Goods,"Catalog, Search",1799.000000,,,,domaine-de-baronarques-blanc-2016,Domaine De Baronarques Blanc 2016,Domaine De Baronarques Blanc 2016,Domaine De Baronarques Blanc 2016 ,DomaineDeBaro.png,,DomaineDeBaro.png,,DomaineDeBaro.png,,,,23/05/2022 10:35,23/05/2022 12:06,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,France,"WineType=Branco,Year=2016",50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,DomaineDeBaro.png,,,,,,,,,,,,,,
WINE_005,,Wine_Attribute_Set,simple,"Wine/Vinhos,Wine/Vinhos/Vinhos Rose,Wine",wine_br,El Bautismo El Criollo Rosado 2021,,"<table style=""width: 100.361%; height: 115px;"" border=""0"" cellspacing=""0""><colgroup width=""84""></colgroup>
<tbody>
<tr>
<td style=""width: 100%;"" align=""left"" height=""32"">
<p><strong>Opinião do especialista:</strong></p>
<p>Com um estilo descomplicado e informal, esse rosé é produzido com a Criolla, uma uva nativa da Argentina. La Liga de Enólogos é um projeto que desafia o formato tradicional do mundo do vinho e tem como objetivo desenvolver vinhos jovens, com personalidade inovadora e descomplicados.</p>
</td>
</tr>
</tbody>
</table>",1.250000,1,Taxable Goods,"Catalog, Search",94.900000,,,,el-bautismo-el-criollo-rosado-2021,El Bautismo El Criollo Rosado 2021,El Bautismo El Criollo Rosado 2021,El Bautismo El Criollo Rosado 2021 ,ElBautismo.png,,ElBautismo.png,,ElBautismo.png,,,,23/05/2022 10:41,23/05/2022 12:06,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Argentina,"WineType=Rose,Year=2021",30.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,ElBautismo.png,,,,,,,,,,,,,,
WINE_006,,Wine_Attribute_Set,simple,"Wine,Wine/Vinhos,Wine/Vinhos/Vinhos Rose",wine_br,Elide I.G.T. Salento Negroamaro Rosé 2019,,"<p><strong>Opinião do especialista</strong></p>
<p>Este rosé italiano que provém da região de Salento, é um vinho que equilibra no seu sabor, a amargura e doçura da fruta. Sua acidez o torna fácil de beber, resultando em um vinho bem harmonioso produzido a partir de uma uva típica da região: Negroamaro.</p>",1.250000,1,Taxable Goods,"Catalog, Search",101.900000,,,,elide-i-g-t-salento-negroamaro-rose-2019,Elide I.G.T. Salento Negroamaro Rosé 2019,Elide I.G.T. Salento Negroamaro Rosé 2019,Elide I.G.T. Salento Negroamaro Rosé 2019 ,ElideIGT.png,,ElideIGT.png,,ElideIGT.png,,,,23/05/2022 10:46,23/05/2022 12:06,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Italy,"WineType=Rosé,Year=2019",40.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,ElideIGT.png,,,,,,,,,,,,,,
ESP_001,,Wine_Attribute_Set,simple,"Wine,Wine/Espumantes,Wine/Espumantes/Frisantes",wine_br,Espumante Dadá Nº 7 White Sweet 2021,,"<p><span style=""font-size: 16px;""><strong>Opinião do especialista:</strong></span></p>
<p><span style=""font-size: 16px;""><span style=""font-size: 14px;"">Desenvolvemos vinhos para surpreender os seus sentidos. Desafiando o tradicional, utilizamos de métodos para acentuar notas únicas em cada uma das variedades. Ser irreverente, atrevido, transformar o comum em extraordinário. Isso é DADÁ! Este é um espumante vibrante, jovem, frutado, delicado e muito refrescante, excelente para momentos leves e descontraídos.</span><strong><br /></strong></span></p>",1.250000,1,Taxable Goods,"Catalog, Search",79.900000,,,,espumante-dada-n-7-white-sweet-2021,Espumante Dadá Nº 7 White Sweet 2021,Espumante Dadá Nº 7 White Sweet 2021,Espumante Dadá Nº 7 White Sweet 2021 ,EspumanteDada.png,,EspumanteDada.png,,EspumanteDada.png,,,,23/05/2022 10:52,23/05/2022 12:06,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"WineType=Espumante,Year=2021",30.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,EspumanteDada.png,,,,,,,,,,,,,,
FRI_001,,Wine_Attribute_Set,simple,"Wine,Wine/Espumantes,Wine/Espumantes/Frisantes",wine_br,Frisante Salton Lunae Branco Demi-Sec,,"<p>Frisante delicado e fresco, com aromas de flores e frutas. Pertence à linha Fresh, cujos produtos são as expressões mais descompromissadas do universo Salton. O grande mérito desta linha é sua informalidade, seu foco em ser refrescante e leve, fácil de agradar e para ser apreciada em qualquer ocasião.</p>",1.250000,1,Taxable Goods,"Catalog, Search",40.900000,,,,frisante-salton-lunae-branco-demi-sec,Frisante Salton Lunae Branco Demi-Sec,Frisante Salton Lunae Branco Demi-Sec,Frisante Salton Lunae Branco Demi-Sec ,Frisante.png,,Frisante.png,,Frisante.png,,,,23/05/2022 10:57,23/05/2022 12:06,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Brazil,"WineType=Frisante,Year=2021",25.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,Frisante.png,,,,,,,,,,,,,,
KIT_001,,Default,bundle,"Wine,Wine/Kits,Wine/Premium",wine_br,Kit Premium,,,,1,Taxable Goods,"Catalog, Search",,,,,kit-premium,Kit Premium,Kit Premium,Kit Premium ,KitPremium.png,,KitPremium.png,,KitPremium.png,,,,23/05/2022 11:11,23/05/2022 12:06,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"Assinat.png,BeniDiBatasiolo.png",,,,dynamic,dynamic,Price range,dynamic,"name=Produtos:,type=checkbox,required=0,sku=WINE_002,price=0.0000,default=0,default_qty=1.0000,price_type=fixed,can_change_qty=0|name=Produtos:,type=checkbox,required=0,sku=WINE_003,price=0.0000,default=0,default_qty=1.0000,price_type=fixed,can_change_qty=0|name=Produtos:,type=checkbox,required=0,sku=WINE_004,price=0.0000,default=0,default_qty=1.0000,price_type=fixed,can_change_qty=0",together,,,,,
SACAROLHA_001,,Default,simple,"Wine,Wine/Kits/Acessórios",wine_br,Caixa com Saca-Rolha duas lâminas,,"<p>Também conhecido como “pinça”, o saca-rolha lâminas permite abrir o vinho sem perfurar a rolha, reduzindo o risco de quebra.</p>",0.500000,1,Taxable Goods,"Catalog, Search",47.900000,,,,caixa-com-saca-rolha-duas-laminas,Caixa com Saca-Rolha duas lâminas,Caixa com Saca-Rolha duas lâminas,Caixa com Saca-Rolha duas lâminas ,sacaR.jpg,,sacaR.jpg,,sacaR.jpg,,,,23/05/2022 11:29,23/05/2022 12:06,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Chile,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,sacaR.jpg,,,,,,,,,,,,,,
